source_file,source_path,source_index,sequence_index,condition,dataset_label,replicate,Pt,T_s,Vf_V_vs_Ref,Im_A,Vu_V,Sig_V,Ach_V,IERange,Over,Temp_deg_C,step_duration_s,global_time_s,global_time_min,step_variable_name,step_variable_value,step_label
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,10,10,-0.50006,-0.000100773,0.0,-0.500071,0.0,9,...........,1483.49,300.0,10.0,0.16666666666666666,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,11,11,-0.50006,-0.000102406,0.0,-0.500071,0.0,9,...........,1483.49,300.0,11.0,0.18333333333333332,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,12,12,-0.50016,-0.00010324,0.0,-0.500071,0.0,9,...........,1483.49,300.0,12.0,0.2,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,13,13,-0.49996,-0.000104206,0.0,-0.500071,0.0,9,...........,1483.49,300.0,13.0,0.21666666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,14,14,-0.50006,-0.000105439,0.0,-0.500071,0.0,9,...........,1483.49,300.0,14.0,0.23333333333333334,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,15,15,-0.50006,-0.000105673,0.0,-0.500071,0.0,9,...........,1483.49,300.0,15.0,0.25,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,16,16,-0.50006,-0.000106306,0.0,-0.500071,0.0,9,...........,1483.58,300.0,16.0,0.26666666666666666,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,17,17,-0.50006,-0.000107206,0.0,-0.500071,0.0,9,...........,1483.58,300.0,17.0,0.2833333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,18,18,-0.50016,-0.000107639,0.0,-0.500071,0.0,9,...........,1483.49,300.0,18.0,0.3,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,19,19,-0.50016,-0.000107872,0.0,-0.500071,0.0,9,...........,1483.58,300.0,19.0,0.31666666666666665,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,20,20,-0.50006,-0.000108406,0.0,-0.500071,0.0,9,...........,1483.49,300.0,20.0,0.3333333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,21,21,-0.50006,-0.000108906,0.0,-0.500071,0.0,9,...........,1483.58,300.0,21.0,0.35,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,22,22,-0.50016,-0.000108906,0.0,-0.500071,0.0,9,...........,1483.49,300.0,22.0,0.36666666666666664,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,23,23,-0.49996,-0.000109639,0.0,-0.500071,0.0,9,...........,1483.58,300.0,23.0,0.38333333333333336,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,24,24,-0.50006,-0.000109906,0.0,-0.500071,0.0,9,...........,1483.49,300.0,24.0,0.4,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,25,25,-0.50006,-0.000110405,0.0,-0.500071,0.0,9,...........,1483.49,300.0,25.0,0.4166666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,26,26,-0.50006,-0.000110605,0.0,-0.500071,0.0,9,...........,1483.58,300.0,26.0,0.43333333333333335,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,27,27,-0.50006,-0.000110839,0.0,-0.500071,0.0,9,...........,1483.49,300.0,27.0,0.45,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,28,28,-0.50006,-0.000111172,0.0,-0.500071,0.0,9,...........,1483.58,300.0,28.0,0.4666666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,29,29,-0.50016,-0.000110905,0.0,-0.500071,0.0,9,...........,1483.58,300.0,29.0,0.48333333333333334,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,30,30,-0.50016,-0.000111472,0.0,-0.500071,0.0,9,...........,1483.58,300.0,30.0,0.5,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,31,31,-0.50006,-0.000111805,0.0,-0.500071,0.0,9,...........,1483.58,300.0,31.0,0.5166666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,32,32,-0.50016,-0.000111739,0.0,-0.500071,0.0,9,...........,1483.58,300.0,32.0,0.5333333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,33,33,-0.50006,-0.000111872,0.0,-0.500071,0.0,9,...........,1483.49,300.0,33.0,0.55,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,34,34,-0.50006,-0.000112472,0.0,-0.500071,0.0,9,...........,1483.58,300.0,34.0,0.5666666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,35,35,-0.50016,-0.000112405,0.0,-0.500071,0.0,9,...........,1483.49,300.0,35.0,0.5833333333333334,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,36,36,-0.50006,-0.000112539,0.0,-0.500071,0.0,9,...........,1483.58,300.0,36.0,0.6,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,37,37,-0.50006,-0.000112939,0.0,-0.500071,0.0,9,...........,1483.58,300.0,37.0,0.6166666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,38,38,-0.50006,-0.000112805,0.0,-0.500071,0.0,9,...........,1483.58,300.0,38.0,0.6333333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,39,39,-0.50006,-0.000112872,0.0,-0.500071,0.0,9,...........,1483.49,300.0,39.0,0.65,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,40,40,-0.50016,-0.000113072,0.0,-0.500071,0.0,9,...........,1483.49,300.0,40.0,0.6666666666666666,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,41,41,-0.49996,-0.000113072,0.0,-0.500071,0.0,9,...........,1483.49,300.0,41.0,0.6833333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,42,42,-0.50006,-0.000113272,0.0,-0.500071,0.0,9,...........,1483.49,300.0,42.0,0.7,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,43,43,-0.50006,-0.000113538,0.0,-0.500071,0.0,9,...........,1483.58,300.0,43.0,0.7166666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,44,44,-0.50006,-0.000113172,0.0,-0.500071,0.0,9,...........,1483.58,300.0,44.0,0.7333333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,45,45,-0.50006,-0.000113572,0.0,-0.500071,0.0,9,...........,1483.49,300.0,45.0,0.75,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,46,46,-0.50006,-0.000113572,0.0,-0.500071,0.0,9,...........,1483.49,300.0,46.0,0.7666666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,47,47,-0.50006,-0.000113705,0.0,-0.500071,0.0,9,...........,1483.49,300.0,47.0,0.7833333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,48,48,-0.50016,-0.000113572,0.0,-0.500071,0.0,9,...........,1483.58,300.0,48.0,0.8,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,49,49,-0.50006,-0.000113872,0.0,-0.500071,0.0,9,...........,1483.49,300.0,49.0,0.8166666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,50,50,-0.50006,-0.000113938,0.0,-0.500071,0.0,9,...........,1483.58,300.0,50.0,0.8333333333333334,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,51,51,-0.50006,-0.000113938,0.0,-0.500071,0.0,9,...........,1483.58,300.0,51.0,0.85,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,52,52,-0.50006,-0.000113972,0.0,-0.500071,0.0,9,...........,1483.49,300.0,52.0,0.8666666666666667,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,C:\Users\Joe Yang\AutoPlot-OriginPro-EChem\Autoplot-OriginPro-EChem\data_storage\uploaded_data\20260617_232738_sequence_001_PBSNO3-layers--rpm_1600CHRONOA_B_13.DTA,1,1,Sequential condition,Sequential condition,1,53,53,-0.50006,-0.000114105,0.0,-0.500071,0.0,9,...........,1483.58,300.0,53.0,0.8833333333333333,Vf_V_vs_Ref,-0.5000822657807309,-0.5001
